epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.2283,1.90072,0.17073,0.85366,1.8846,0.0001,0.0001,0.0001
2,11.3065,1.7611,0.21951,0.95122,1.69528,0.000199605,0.000199605,0.000199605
3,15.6248,1.63039,0.34146,0.97561,1.69054,0.00028832,0.00028832,0.00028832
4,19.7945,1.5271,0.39024,0.97561,1.56855,0.000366145,0.000366145,0.000366145
5,24.0013,1.36368,0.5122,0.97561,1.50871,0.00043308,0.00043308,0.00043308
6,30.7205,1.15549,0.46341,0.95122,1.39036,0.000489125,0.000489125,0.000489125
7,34.8228,1.17554,0.46341,0.97561,1.43339,0.00053428,0.00053428,0.00053428
8,38.7189,0.96265,0.4878,0.95122,1.27001,0.000568545,0.000568545,0.000568545
9,42.5266,0.96179,0.5122,0.95122,1.64095,0.00059192,0.00059192,0.00059192
10,46.5475,0.78629,0.5122,0.95122,1.58715,0.0005545,0.0005545,0.0005545
11,50.336,0.73944,0.5122,0.95122,1.44001,0.000505,0.000505,0.000505
12,54.2159,0.70123,0.5122,0.92683,1.50075,0.0004555,0.0004555,0.0004555
13,58.0399,0.62786,0.5122,0.92683,1.47422,0.000406,0.000406,0.000406
14,64.449,0.63748,0.5122,0.92683,1.77599,0.0003565,0.0003565,0.0003565
15,68.5206,0.72562,0.5122,0.95122,1.76213,0.000307,0.000307,0.000307
16,72.6271,0.51765,0.46341,0.95122,1.45091,0.0002575,0.0002575,0.0002575
17,76.3931,0.54784,0.4878,0.95122,1.62944,0.000208,0.000208,0.000208
18,80.3569,0.51973,0.41463,0.95122,1.63116,0.0001585,0.0001585,0.0001585
19,86.272,0.4693,0.43902,0.95122,1.70905,0.000109,0.000109,0.000109
20,90.29,0.47632,0.43902,0.95122,1.69633,5.95e-05,5.95e-05,5.95e-05
