epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.36457,1.90072,0.17073,0.85366,1.8846,0.0001,0.0001,0.0001
2,8.82855,1.76003,0.21951,0.95122,1.69323,0.00020307,0.00020307,0.00020307
3,12.8761,1.62654,0.31707,0.97561,1.68785,0.00029888,0.00029888,0.00029888
4,18.787,1.51961,0.39024,0.97561,1.56187,0.00038743,0.00038743,0.00038743
5,22.6747,1.34813,0.5122,0.97561,1.49966,0.00046872,0.00046872,0.00046872
6,26.635,1.13245,0.46341,0.95122,1.38247,0.00054275,0.00054275,0.00054275
7,30.5332,1.15407,0.46341,0.97561,1.43225,0.00060952,0.00060952,0.00060952
8,34.5142,0.92379,0.4878,0.95122,1.27183,0.00066903,0.00066903,0.00066903
9,38.6739,0.92136,0.4878,0.95122,1.68972,0.00072128,0.00072128,0.00072128
10,44.9059,0.7353,0.5122,0.95122,1.64573,0.000703,0.000703,0.000703
11,49.8441,0.6532,0.5122,0.95122,1.45133,0.00067,0.00067,0.00067
12,53.7354,0.63261,0.5122,0.92683,1.61754,0.000637,0.000637,0.000637
13,57.5864,0.64015,0.43902,0.95122,1.67864,0.000604,0.000604,0.000604
14,61.4391,0.50693,0.46341,0.95122,2.12771,0.000571,0.000571,0.000571
15,67.5078,0.4419,0.46341,0.95122,2.03001,0.000538,0.000538,0.000538
16,71.3749,0.3754,0.46341,0.95122,1.70025,0.000505,0.000505,0.000505
17,75.3309,0.50294,0.46341,0.95122,2.02498,0.000472,0.000472,0.000472
18,79.1924,0.35867,0.43902,0.95122,1.94366,0.000439,0.000439,0.000439
19,83.1673,0.28053,0.43902,0.95122,2.05203,0.000406,0.000406,0.000406
20,89.3319,0.33076,0.36585,0.95122,2.16231,0.000373,0.000373,0.000373
21,93.2937,0.49991,0.39024,0.95122,2.48202,0.00034,0.00034,0.00034
22,97.184,0.26324,0.41463,0.95122,2.4595,0.000307,0.000307,0.000307
23,101.052,0.30124,0.39024,0.95122,2.46052,0.000274,0.000274,0.000274
24,105.132,0.48009,0.39024,0.95122,2.20426,0.000241,0.000241,0.000241
25,112.219,0.22286,0.39024,0.95122,2.66496,0.000208,0.000208,0.000208
26,116.374,0.32964,0.39024,0.95122,2.40999,0.000175,0.000175,0.000175
27,120.403,0.22272,0.39024,0.95122,1.91558,0.000142,0.000142,0.000142
28,124.199,0.42291,0.39024,0.95122,2.49585,0.000109,0.000109,0.000109
29,128.145,0.27258,0.39024,0.95122,2.05592,7.6e-05,7.6e-05,7.6e-05
30,131.952,0.31864,0.39024,0.95122,2.26113,4.3e-05,4.3e-05,4.3e-05
