epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.51167,1.90072,0.17073,0.85366,1.8846,0.0001,0.0001,0.0001
2,8.96077,1.76003,0.21951,0.95122,1.69323,0.00020307,0.00020307,0.00020307
3,12.95,1.62654,0.31707,0.97561,1.68785,0.00029888,0.00029888,0.00029888
4,19.0746,1.51961,0.39024,0.97561,1.56187,0.00038743,0.00038743,0.00038743
5,23.0208,1.34813,0.5122,0.97561,1.49966,0.00046872,0.00046872,0.00046872
6,27.1325,1.13245,0.46341,0.95122,1.38247,0.00054275,0.00054275,0.00054275
7,31.0472,1.15407,0.46341,0.97561,1.43225,0.00060952,0.00060952,0.00060952
8,35.0603,0.92379,0.4878,0.95122,1.27183,0.00066903,0.00066903,0.00066903
9,41.2665,0.92136,0.4878,0.95122,1.68972,0.00072128,0.00072128,0.00072128
10,45.237,0.7353,0.5122,0.95122,1.64573,0.000703,0.000703,0.000703
11,49.1859,0.6532,0.5122,0.95122,1.45133,0.00067,0.00067,0.00067
12,53.5231,0.63261,0.5122,0.92683,1.61754,0.000637,0.000637,0.000637
13,59.8952,0.64015,0.43902,0.95122,1.67864,0.000604,0.000604,0.000604
14,63.7761,0.50693,0.46341,0.95122,2.12771,0.000571,0.000571,0.000571
15,67.6072,0.4419,0.46341,0.95122,2.03001,0.000538,0.000538,0.000538
16,71.5991,0.3754,0.46341,0.95122,1.70025,0.000505,0.000505,0.000505
17,75.4334,0.50294,0.46341,0.95122,2.02498,0.000472,0.000472,0.000472
18,81.7521,0.35867,0.43902,0.95122,1.94366,0.000439,0.000439,0.000439
19,85.6889,0.28053,0.43902,0.95122,2.05203,0.000406,0.000406,0.000406
20,89.589,0.33076,0.36585,0.95122,2.16231,0.000373,0.000373,0.000373
21,93.5119,0.49991,0.39024,0.95122,2.48202,0.00034,0.00034,0.00034
22,99.6562,0.26324,0.41463,0.95122,2.4595,0.000307,0.000307,0.000307
23,103.689,0.30124,0.39024,0.95122,2.46052,0.000274,0.000274,0.000274
24,107.587,0.48009,0.39024,0.95122,2.20426,0.000241,0.000241,0.000241
25,111.35,0.22286,0.39024,0.95122,2.66496,0.000208,0.000208,0.000208
26,115.332,0.32964,0.39024,0.95122,2.40999,0.000175,0.000175,0.000175
27,121.856,0.22272,0.39024,0.95122,1.91558,0.000142,0.000142,0.000142
28,125.881,0.42291,0.39024,0.95122,2.49585,0.000109,0.000109,0.000109
29,130.077,0.27258,0.39024,0.95122,2.05592,7.6e-05,7.6e-05,7.6e-05
30,134.348,0.31864,0.39024,0.95122,2.26113,4.3e-05,4.3e-05,4.3e-05
