epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5001,1.58261,3.23725,1.53757,0.01896,0.75207,0.02845,0.01454,1.2465,3.10241,1.3087,6e-05,6e-05,6e-05
2,35.1683,1.48973,3.08028,1.3704,0.02271,0.90083,0.15917,0.09506,1.21237,2.89145,1.12831,0.00013076,0.00013076,0.00013076
3,51.5236,1.3928,2.73528,1.22994,0.02458,0.97521,0.4752,0.28753,1.2907,2.67095,1.0482,0.00019096,0.00019096,0.00019096
4,67.8553,1.43637,2.37192,1.17422,0.025,0.99174,0.57389,0.36473,1.25408,2.59926,1.02974,0.0002406,0.0002406,0.0002406
5,84.2821,1.3522,1.91109,1.16448,0.02521,1,0.65503,0.43624,1.17929,2.52076,0.99173,0.00027968,0.00027968,0.00027968
6,100.791,1.33163,1.63932,1.12111,0.02458,0.97521,0.71587,0.47133,1.16029,2.45041,0.99581,0.0003082,0.0003082,0.0003082
7,117.17,1.34731,1.55462,1.18186,0.04642,0.92562,0.65883,0.40688,1.20471,2.44796,1.02201,0.00032616,0.00032616,0.00032616
8,134.421,1.3057,1.57115,1.19462,1,0.31472,0.67647,0.41757,1.20941,2.38806,1.03049,0.00033356,0.00033356,0.00033356
9,150.654,1.33468,1.41287,1.21678,0.95339,0.33808,0.67627,0.415,1.22874,2.28917,1.04797,0.0003304,0.0003304,0.0003304
10,166.924,1.3088,1.32731,1.2223,0.94735,0.26446,0.63958,0.41334,1.19628,2.29263,1.03958,0.00031668,0.00031668,0.00031668
11,183.024,1.28002,1.32397,1.17681,0.86152,0.35995,0.63485,0.39631,1.20039,2.26113,1.04943,0.0002924,0.0002924,0.0002924
12,199.413,1.31092,1.2586,1.19665,0.8534,0.55372,0.66963,0.39785,1.2192,2.22394,1.05598,0.00025756,0.00025756,0.00025756
13,216.193,1.27442,1.23587,1.14829,0.86135,0.56479,0.672,0.41649,1.22086,2.17547,1.06371,0.00021216,0.00021216,0.00021216
14,232.453,1.25701,1.2049,1.13579,0.88226,0.55739,0.68011,0.42406,1.21,2.1515,1.06089,0.0001562,0.0001562,0.0001562
15,248.84,1.27628,1.1557,1.14243,0.89022,0.61157,0.70387,0.44107,1.18878,2.08802,1.04835,8.968e-05,8.968e-05,8.968e-05
