epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,333.274,0.82626,1.7835,4.79455,0.00576,12.1032,0.0095,0.68853,0.12088,0.09512,0.00957,0.69238,0.12128,0.09834,0.61148,1.28403,5.81234,0.00582,0,0.00028179,0.00028179,0.00028179
2,590.897,0.85533,1.27923,3.78273,0.00595,9.30918,0.00822,0.67484,0.20925,0.16169,0.00824,0.70346,0.21141,0.16192,0.70168,1.28465,5.23625,0.00702,0,0.000561331,0.000561331,0.000561331
3,955.074,0.87643,1.19031,3.2458,0.00629,7.19011,0.85831,0.09893,0.32658,0.24636,0.85831,0.09893,0.32738,0.25679,0.85658,1.20075,4.7106,0.0089,0,0.000829353,0.000829353,0.000829353
4,1211.68,0.9164,1.17086,2.8338,0.00647,5.57785,0.78898,0.39406,0.46588,0.38249,0.78944,0.39491,0.46694,0.389,0.76249,1.07866,3.63767,0.00755,0,0.000855005,0.000855005,0.000855005
5,1468.44,0.8515,1.12041,2.50151,0.00587,4.22218,0.79903,0.44259,0.46893,0.38873,0.79903,0.44259,0.46904,0.39293,0.77281,1.08559,3.05067,0.00757,0,0.000837007,0.000837007,0.000837007
6,1725.37,0.86541,1.12292,2.35667,0.00589,3.02488,0.75956,0.47197,0.4932,0.40083,0.75843,0.47088,0.49272,0.40993,0.79184,1.0929,2.75004,0.00788,0,0.000819009,0.000819009,0.000819009
7,1982.63,0.85043,1.07736,2.10572,0.00573,2.30672,0.82325,0.46041,0.51037,0.42138,0.82325,0.46041,0.51023,0.42626,0.76937,1.09178,2.51932,0.00761,0,0.000801011,0.000801011,0.000801011
8,2240.46,0.87589,1.12525,1.99267,0.00586,2.06579,0.8336,0.46029,0.51942,0.41005,0.8414,0.45872,0.51982,0.42109,0.84466,1.11124,2.30784,0.00838,0,0.000783013,0.000783013,0.000783013
9,2497.75,0.89753,1.10126,1.87036,0.00629,1.78816,0.76892,0.46757,0.45364,0.36303,0.76391,0.45572,0.45191,0.36224,0.82532,1.35547,2.33229,0.00844,0,0.000765014,0.000765014,0.000765014
10,2755.95,0.85407,1.13587,1.83017,0.00596,1.61494,0.84738,0.46144,0.52651,0.43192,0.84837,0.46228,0.52713,0.43431,0.79842,1.05417,1.86107,0.00772,0,0.000747016,0.000747016,0.000747016
11,3013.86,0.86628,1.11636,1.70865,0.00597,1.43651,0.86256,0.48827,0.5354,0.43079,0.86398,0.48898,0.53613,0.43374,0.78093,1.20182,1.78078,0.00773,0,0.000729018,0.000729018,0.000729018
12,3287.04,0.84327,1.08963,1.54381,0.00584,1.25542,0.80548,0.43241,0.49001,0.38829,0.80758,0.43433,0.4918,0.39656,0.8372,1.08189,1.74114,0.00845,0,0.00071102,0.00071102,0.00071102
13,3558.69,0.84534,1.04959,1.4655,0.0058,1.14776,0.85017,0.50877,0.549,0.44089,0.85183,0.51046,0.54943,0.45271,0.80135,1.06221,1.49108,0.00808,0,0.000693022,0.000693022,0.000693022
14,3834.05,0.81162,1.03829,1.35721,0.00545,1.0175,0.87592,0.50663,0.59639,0.48167,0.87471,0.50555,0.59533,0.4919,0.78744,0.99615,1.4379,0.00768,0,0.000675023,0.000675023,0.000675023
15,4109.57,0.80307,1.01614,1.27816,0.00555,0.97714,0.87841,0.50992,0.6372,0.51531,0.87924,0.51076,0.63769,0.52736,0.77825,1.09845,1.35587,0.00772,0,0.000657025,0.000657025,0.000657025
16,4379.67,0.76549,0.95835,1.22579,0.00566,0.95094,0.91017,0.52335,0.62571,0.50443,0.90904,0.52227,0.6256,0.52204,0.78582,1.03482,1.21654,0.0077,0,0.000639027,0.000639027,0.000639027
17,4652.61,0.76357,1.00712,1.23023,0.00533,0.9565,0.87225,0.53523,0.65166,0.53227,0.87106,0.53991,0.65419,0.54193,0.76548,1.00526,1.19166,0.00752,0,0.000621029,0.000621029,0.000621029
18,4922.16,0.80296,0.99232,1.17423,0.00554,0.92854,0.83711,0.52094,0.60294,0.49704,0.83696,0.51914,0.60522,0.4993,0.76534,1.02118,1.22329,0.00766,0,0.000603031,0.000603031,0.000603031
19,5190.4,0.7736,0.99306,1.10334,0.00516,0.83384,0.83417,0.53285,0.61385,0.49879,0.83511,0.53394,0.6158,0.51085,0.7619,1.02242,1.13768,0.00747,0,0.000585032,0.000585032,0.000585032
20,5459.68,0.7816,0.96798,1.07153,0.00539,0.76068,0.88607,0.48938,0.62144,0.5196,0.8851,0.48974,0.62373,0.5271,0.75606,0.96639,1.05946,0.00749,0,0.000567034,0.000567034,0.000567034
21,5734.5,0.77028,0.98915,1.07142,0.00517,0.75048,0.81918,0.57752,0.62664,0.52051,0.81918,0.57752,0.62974,0.52882,0.75827,0.99886,1.01973,0.0074,0,0.000549036,0.000549036,0.000549036
22,6007.58,0.76424,0.95611,1.00077,0.00518,0.72631,0.81205,0.52921,0.62786,0.53393,0.81341,0.53044,0.62877,0.53121,0.72862,1.00315,0.9829,0.00709,0,0.000531038,0.000531038,0.000531038
23,6284.29,0.75437,0.95784,0.93618,0.005,0.62858,0.72237,0.6246,0.64731,0.54415,0.72237,0.6246,0.64732,0.54208,0.72733,1.01354,0.92146,0.00707,0,0.00051304,0.00051304,0.00051304
24,6558.07,0.74012,0.93702,0.91925,0.00489,0.62448,0.78316,0.59183,0.66946,0.56278,0.78386,0.59267,0.66951,0.56705,0.70141,0.95391,0.91009,0.00674,0,0.000495041,0.000495041,0.000495041
25,6832.6,0.72892,0.93739,0.89903,0.00495,0.57176,0.84304,0.65602,0.68637,0.57247,0.84304,0.65602,0.68667,0.58098,0.7222,0.96984,0.90156,0.00715,0,0.000477043,0.000477043,0.000477043
26,7108.79,0.72476,0.91617,0.85846,0.00496,0.47784,0.85774,0.6326,0.69568,0.58616,0.85774,0.6326,0.69557,0.58334,0.67079,0.99439,0.88531,0.00666,0,0.000459045,0.000459045,0.000459045
27,7383.72,0.70866,0.89984,0.85573,0.0047,0.43653,0.878,0.62902,0.72112,0.60779,0.87869,0.62822,0.7203,0.60859,0.71375,0.94356,0.857,0.00722,0,0.000441047,0.000441047,0.000441047
28,7656.81,0.71762,0.91231,0.8288,0.00497,0.39927,0.91398,0.6515,0.7313,0.61318,0.91558,0.65199,0.73239,0.61236,0.7075,0.9658,0.81734,0.00686,0,0.000423049,0.000423049,0.000423049
29,7930.92,0.71556,0.889,0.80491,0.0047,0.37692,0.82024,0.68115,0.72016,0.60431,0.82115,0.682,0.72052,0.60674,0.69887,0.96743,0.8212,0.00687,0,0.00040505,0.00040505,0.00040505
30,8205.44,0.70171,0.90019,0.79857,0.00464,0.36846,0.92128,0.61982,0.7348,0.62045,0.9224,0.62066,0.73626,0.62706,0.69653,0.95954,0.80538,0.00673,0,0.000387052,0.000387052,0.000387052
31,8481,0.69426,0.88065,0.78101,0.00464,0.35043,0.8458,0.66834,0.72954,0.61441,0.84677,0.66918,0.73225,0.62168,0.69746,0.96149,0.77887,0.00684,0,0.000369054,0.000369054,0.000369054
32,8755.82,0.70195,0.90837,0.78399,0.00465,0.33968,0.88893,0.60093,0.71295,0.5974,0.88893,0.60093,0.71274,0.60959,0.72763,0.95233,0.80811,0.00749,0,0.000351056,0.000351056,0.000351056
33,9029.09,0.68923,0.86358,0.70781,0.00475,0.30592,0.85619,0.66943,0.72797,0.60477,0.85723,0.67028,0.72649,0.62177,0.70917,0.95458,0.76996,0.00702,0,0.000333058,0.000333058,0.000333058
34,9300,0.69432,0.91092,0.7445,0.00464,0.31837,0.85251,0.68519,0.72584,0.61814,0.85337,0.68663,0.72689,0.61843,0.65786,0.9565,0.79351,0.00641,0,0.000315059,0.000315059,0.000315059
35,9554.7,0.66593,0.87341,0.72434,0.00447,0.30174,0.8699,0.66863,0.72855,0.61773,0.86876,0.66755,0.72741,0.61793,0.66634,0.94904,0.74589,0.00652,0,0.000297061,0.000297061,0.000297061
36,9810.23,0.67769,0.86099,0.75033,0.00436,0.32473,0.85396,0.65895,0.7257,0.62507,0.85494,0.65979,0.72719,0.61878,0.64187,0.94311,0.7172,0.00633,0,0.000279063,0.000279063,0.000279063
37,10065.8,0.64133,0.8142,0.70126,0.00453,0.30457,0.83652,0.67532,0.72589,0.62506,0.83708,0.67623,0.72631,0.62678,0.63609,0.9422,0.70106,0.00622,0,0.000261065,0.000261065,0.000261065
38,10321.7,0.65487,0.83589,0.69014,0.00422,0.29456,0.81882,0.6946,0.71966,0.61773,0.82067,0.69629,0.72017,0.62404,0.64452,0.93194,0.72446,0.00629,0,0.000243067,0.000243067,0.000243067
39,10577.4,0.67091,0.86071,0.71002,0.00428,0.31662,0.80707,0.68926,0.71795,0.61231,0.80775,0.68895,0.71736,0.62045,0.64471,0.93064,0.71763,0.00623,0,0.000225068,0.000225068,0.000225068
40,10833.6,0.64794,0.85572,0.67006,0.00419,0.30359,0.90263,0.67313,0.73631,0.63093,0.90377,0.6748,0.73803,0.63166,0.66953,0.93639,0.68986,0.00648,0,0.00020707,0.00020707,0.00020707
41,11085,0.57159,0.72359,0.63473,0.00504,0.18953,0.89863,0.64292,0.73783,0.62973,0.90005,0.64341,0.73857,0.63325,0.67704,0.93518,0.70084,0.00666,0,0.000189072,0.000189072,0.000189072
42,11335,0.54458,0.7149,0.64797,0.00499,0.17343,0.84703,0.70584,0.73367,0.63308,0.84788,0.70668,0.73429,0.6301,0.6385,0.93614,0.71308,0.0062,0,0.000171074,0.000171074,0.000171074
43,11584.6,0.51267,0.69575,0.57814,0.00469,0.17316,0.85794,0.71264,0.7341,0.63385,0.85794,0.71264,0.7342,0.62627,0.64412,0.94804,0.69422,0.00626,0,0.000153076,0.000153076,0.000153076
44,11834.2,0.53016,0.69522,0.58317,0.00486,0.17872,0.86812,0.66798,0.73491,0.62592,0.86812,0.66798,0.73565,0.62757,0.65127,0.9464,0.68536,0.00634,0,0.000135077,0.000135077,0.000135077
45,12084.3,0.52962,0.70164,0.54858,0.00477,0.15598,0.88162,0.68875,0.74139,0.6365,0.88162,0.68875,0.74221,0.63601,0.64314,0.93879,0.67581,0.00625,0,0.000117079,0.000117079,0.000117079
46,12334.4,0.5156,0.68715,0.54131,0.0047,0.16438,0.88145,0.68738,0.74309,0.63376,0.88145,0.68738,0.74315,0.63784,0.64449,0.9321,0.66587,0.00631,0,9.9081e-05,9.9081e-05,9.9081e-05
47,12583.8,0.52536,0.68836,0.55604,0.00462,0.15852,0.86142,0.70295,0.74794,0.64383,0.86225,0.70379,0.74826,0.64589,0.63548,0.92812,0.66554,0.00614,0,8.10828e-05,8.10828e-05,8.10828e-05
48,12833.9,0.52267,0.71345,0.52304,0.00455,0.14458,0.89297,0.71773,0.74917,0.64464,0.89471,0.71941,0.75059,0.64669,0.62846,0.93178,0.67208,0.00604,0,6.30846e-05,6.30846e-05,6.30846e-05
49,13083.4,0.49583,0.6808,0.51559,0.00452,0.14022,0.89532,0.71217,0.74822,0.64913,0.89716,0.71344,0.74982,0.64441,0.62488,0.93142,0.67676,0.006,0,4.50864e-05,4.50864e-05,4.50864e-05
50,13333.5,0.50123,0.68614,0.53925,0.00439,0.14323,0.89568,0.71124,0.74833,0.64768,0.89658,0.71208,0.74836,0.6439,0.62747,0.9317,0.67433,0.00603,0,2.70882e-05,2.70882e-05,2.70882e-05
