epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,351.546,1.36645,1.76796,2.69252,0.00339,5.5696,0.59922,0.61226,0.59266,0.41863,0.60007,0.60239,0.58459,0.33834,1.15554,1.40871,1.65341,0.00588,0,0.000332384,0.000332384,0.000332384
2,648.68,1.29086,1.51928,1.32785,0.00338,1.28864,0.6579,0.67493,0.69094,0.48955,0.64978,0.6602,0.67552,0.39679,1.12414,1.27808,1.01881,0.00564,0,0.000659126,0.000659126,0.000659126
3,947.24,1.31461,1.52856,1.28771,0.00341,0.97683,0.63214,0.64912,0.64971,0.45306,0.62876,0.64376,0.64109,0.38074,1.12943,1.30242,1.27042,0.00539,0,0.000979269,0.000979269,0.000979269
4,1247.23,1.29977,1.47817,1.22226,0.00348,0.90443,0.71408,0.68445,0.73517,0.5306,0.70742,0.67747,0.72302,0.44091,1.0687,1.19568,0.90894,0.00504,0,0.0009703,0.0009703,0.0009703
5,1541.96,1.26891,1.44242,1.14845,0.00332,0.85618,0.63998,0.67703,0.68825,0.48715,0.63155,0.66746,0.67294,0.39069,1.09624,1.26477,1.10315,0.00499,0,0.0009604,0.0009604,0.0009604
6,1835.04,1.25616,1.41532,1.09307,0.00322,0.81412,0.76188,0.71835,0.78416,0.57671,0.75109,0.70181,0.75882,0.44725,1.02711,1.15494,0.78568,0.00491,0,0.0009505,0.0009505,0.0009505
7,2125.32,1.23809,1.39002,1.04665,0.00319,0.77668,0.72533,0.70105,0.75237,0.54874,0.71062,0.68288,0.72506,0.42386,1.06332,1.17761,0.84007,0.00511,0,0.0009406,0.0009406,0.0009406
8,2412.2,1.2242,1.37673,1.00767,0.00309,0.72111,0.73712,0.74381,0.79508,0.57634,0.73694,0.71133,0.76977,0.44401,1.03122,1.15857,0.8317,0.0046,0,0.0009307,0.0009307,0.0009307
9,2699.98,1.21813,1.37071,0.99523,0.00308,0.72233,0.76745,0.73864,0.80015,0.59515,0.76563,0.7194,0.77954,0.45774,0.96368,1.13193,0.75461,0.00432,0,0.0009208,0.0009208,0.0009208
10,2988.01,1.20492,1.34659,0.96249,0.00305,0.68907,0.77658,0.73983,0.81398,0.60706,0.77045,0.71609,0.7866,0.47598,0.97716,1.1147,0.77015,0.00417,0,0.0009109,0.0009109,0.0009109
11,3277.05,1.2051,1.33506,0.93594,0.00302,0.66958,0.77862,0.74123,0.80567,0.59765,0.7785,0.71867,0.78117,0.46459,0.94865,1.11153,0.84492,0.00392,0,0.000901,0.000901,0.000901
12,3566.08,1.19686,1.31958,0.94226,0.00303,0.68491,0.78618,0.75667,0.81938,0.6107,0.78099,0.74344,0.79949,0.47977,0.98218,1.10592,0.74065,0.00453,0,0.0008911,0.0008911,0.0008911
13,3853.7,1.17299,1.29922,0.8916,0.00293,0.6313,0.81927,0.74878,0.83869,0.63351,0.81414,0.73902,0.82514,0.49639,0.91927,1.06902,0.66189,0.00378,0,0.0008812,0.0008812,0.0008812
14,4142.83,1.1773,1.30443,0.89504,0.00295,0.62005,0.75692,0.75297,0.82116,0.60378,0.74742,0.73413,0.79507,0.45781,0.98711,1.09127,0.72052,0.00425,0,0.0008713,0.0008713,0.0008713
15,4431.54,1.16748,1.29315,0.87202,0.00287,0.60682,0.80255,0.75686,0.85241,0.64333,0.80141,0.73743,0.82695,0.50272,0.92903,1.07636,0.66361,0.00403,0,0.0008614,0.0008614,0.0008614
16,4720.52,1.16722,1.29331,0.84927,0.00289,0.57886,0.80418,0.79113,0.85267,0.63971,0.79204,0.77082,0.8265,0.493,0.94715,1.05894,0.62454,0.00419,0,0.0008515,0.0008515,0.0008515
17,5009.32,1.16289,1.27578,0.82904,0.00283,0.57335,0.83893,0.77987,0.864,0.66233,0.82742,0.76648,0.84213,0.50315,0.91038,1.06124,0.62136,0.00402,0,0.0008416,0.0008416,0.0008416
18,5297.54,1.14521,1.2517,0.81553,0.00284,0.56675,0.80858,0.78792,0.85108,0.64892,0.79299,0.77092,0.82338,0.4911,0.90437,1.03551,0.61135,0.004,0,0.0008317,0.0008317,0.0008317
19,5584.59,1.14961,1.25742,0.81938,0.00279,0.5752,0.82389,0.78099,0.86084,0.65439,0.81489,0.75675,0.8279,0.49723,0.90103,1.06391,0.59349,0.00363,0,0.0008218,0.0008218,0.0008218
20,5872.58,1.14791,1.24969,0.79772,0.00277,0.5413,0.81399,0.80028,0.86378,0.65737,0.80185,0.77954,0.83551,0.49742,0.89549,1.03969,0.60327,0.00376,0,0.0008119,0.0008119,0.0008119
21,6160.63,1.12852,1.22987,0.76675,0.00272,0.53677,0.82548,0.78701,0.86125,0.66093,0.81352,0.77124,0.83861,0.52018,0.89662,1.02462,0.60985,0.00401,0,0.000802,0.000802,0.000802
22,6448.59,1.12503,1.23627,0.76972,0.00278,0.52677,0.83336,0.80501,0.87379,0.66133,0.82156,0.78432,0.84725,0.50887,0.88324,1.02032,0.57028,0.00359,0,0.0007921,0.0007921,0.0007921
23,6736.11,1.11865,1.23056,0.76389,0.00267,0.51639,0.81763,0.80347,0.86566,0.66764,0.80258,0.78818,0.84184,0.5248,0.87522,1.01548,0.59532,0.00375,0,0.0007822,0.0007822,0.0007822
24,7024.95,1.09994,1.19648,0.74344,0.00266,0.49718,0.86168,0.80482,0.88762,0.68315,0.84939,0.78594,0.86002,0.53169,0.879,1.00916,0.52967,0.00356,0,0.0007723,0.0007723,0.0007723
25,7313.3,1.11686,1.22617,0.7383,0.00264,0.49293,0.85529,0.81731,0.88617,0.68294,0.8379,0.79718,0.85304,0.51918,0.85933,0.99844,0.5518,0.00345,0,0.0007624,0.0007624,0.0007624
26,7600.8,1.09507,1.18675,0.71136,0.00264,0.47568,0.86443,0.8154,0.88864,0.68842,0.85188,0.79804,0.86348,0.53438,0.84793,0.99452,0.53034,0.00344,0,0.0007525,0.0007525,0.0007525
27,7889.54,1.09836,1.1919,0.71349,0.00261,0.47313,0.84882,0.81536,0.8838,0.68393,0.84564,0.79312,0.85929,0.52397,0.8636,1.0036,0.53265,0.00352,0,0.0007426,0.0007426,0.0007426
28,8176.68,1.09881,1.19722,0.71632,0.00266,0.46844,0.83816,0.80927,0.88192,0.67384,0.83043,0.78214,0.85167,0.51652,0.90793,1.00975,0.55206,0.00381,0,0.0007327,0.0007327,0.0007327
29,8463.95,1.09712,1.19712,0.71424,0.00263,0.47081,0.85009,0.81961,0.8833,0.68646,0.83813,0.7996,0.8576,0.5213,0.85562,0.98778,0.52846,0.00339,0,0.0007228,0.0007228,0.0007228
30,8751.19,1.09139,1.18614,0.69563,0.0026,0.46049,0.86586,0.83346,0.89584,0.7011,0.8617,0.8117,0.87268,0.54054,0.83517,0.9778,0.52011,0.00346,0,0.0007129,0.0007129,0.0007129
31,9039.55,1.08586,1.18581,0.69526,0.00257,0.47076,0.83686,0.83615,0.89088,0.69314,0.82864,0.80926,0.8654,0.52603,0.85545,0.97417,0.51865,0.00362,0,0.000703,0.000703,0.000703
