epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,267.07,1.38886,1.79064,2.73909,0.00321,5.80026,0.66895,0.66665,0.71262,0.52829,0.67053,0.66815,0.71179,0.45261,1.03835,1.28246,1.049,0.00205,0,0.000332288,0.000332288,0.000332288
2,503.825,1.30131,1.54902,1.34096,0.00319,1.39873,0.67217,0.68782,0.69931,0.50159,0.6556,0.68451,0.68399,0.39792,1.10708,1.33695,1.22335,0.00216,0,0.000659032,0.000659032,0.000659032
3,736.374,1.33266,1.53848,1.28403,0.00331,0.97767,0.72378,0.72233,0.78248,0.57114,0.72018,0.71731,0.77527,0.47552,1.08526,1.28533,1.0031,0.00213,0,0.000979176,0.000979176,0.000979176
4,968.728,1.30919,1.49911,1.18541,0.00313,0.91533,0.71772,0.70785,0.77406,0.55686,0.71872,0.69824,0.76443,0.46461,1.10286,1.29629,0.93853,0.00217,0,0.0009703,0.0009703,0.0009703
5,1201.47,1.28331,1.46615,1.13616,0.00313,0.8768,0.69163,0.71934,0.76288,0.54768,0.70049,0.70278,0.75538,0.44291,1.08818,1.27807,1.13079,0.00214,0,0.0009604,0.0009604,0.0009604
6,1433.32,1.272,1.42418,1.09843,0.00309,0.83499,0.70988,0.74086,0.79598,0.58388,0.69939,0.72878,0.77651,0.46863,1.05315,1.23629,0.88411,0.00208,0,0.0009505,0.0009505,0.0009505
7,1666.33,1.25379,1.414,1.0512,0.00303,0.77969,0.74708,0.75632,0.80938,0.59428,0.74155,0.75155,0.79961,0.47982,1.03788,1.24384,1.073,0.00203,0,0.0009406,0.0009406,0.0009406
8,1898.19,1.24385,1.39823,1.02287,0.00298,0.75339,0.80301,0.79927,0.86064,0.64892,0.79305,0.79447,0.84699,0.51387,0.99433,1.20099,0.6916,0.00192,0,0.0009307,0.0009307,0.0009307
9,2129.7,1.23676,1.37826,0.98848,0.00292,0.72033,0.76052,0.78318,0.83519,0.62459,0.75727,0.77695,0.8261,0.50695,1.0077,1.15549,0.79842,0.00195,0,0.0009208,0.0009208,0.0009208
10,2361.96,1.22234,1.36108,0.954,0.00285,0.70771,0.78386,0.79607,0.85423,0.62378,0.76517,0.79796,0.83717,0.49837,1.03408,1.15751,0.80356,0.00202,0,0.0009109,0.0009109,0.0009109
11,2593.81,1.2038,1.3371,0.941,0.00288,0.70034,0.81122,0.83829,0.88925,0.67825,0.80396,0.83026,0.87444,0.5327,0.95285,1.10389,0.63089,0.00183,0,0.000901,0.000901,0.000901
12,2825.62,1.19833,1.33148,0.91844,0.00281,0.68578,0.78666,0.81159,0.86154,0.66517,0.78441,0.80087,0.84788,0.53081,0.93536,1.10483,0.67775,0.0018,0,0.0008911,0.0008911,0.0008911
13,3057.62,1.19134,1.31846,0.89469,0.00279,0.64371,0.79678,0.82118,0.87749,0.66772,0.792,0.81531,0.86519,0.54029,0.9552,1.10162,0.73359,0.00184,0,0.0008812,0.0008812,0.0008812
14,3289.55,1.18908,1.30391,0.87892,0.00277,0.62886,0.82692,0.83006,0.88919,0.68374,0.81968,0.82081,0.87442,0.55205,0.93259,1.09251,0.66699,0.00179,0,0.0008713,0.0008713,0.0008713
15,3521.08,1.17411,1.30059,0.86722,0.00279,0.63346,0.85565,0.83877,0.90641,0.69323,0.84799,0.83083,0.89247,0.57064,0.93406,1.08147,0.61598,0.00182,0,0.0008614,0.0008614,0.0008614
16,3752.85,1.17019,1.27109,0.85058,0.00271,0.60972,0.81605,0.82483,0.88539,0.67674,0.80576,0.81456,0.86585,0.53607,0.91691,1.08269,0.67629,0.00175,0,0.0008515,0.0008515,0.0008515
17,3983.68,1.16699,1.27585,0.82775,0.0027,0.58955,0.84398,0.82722,0.89402,0.69019,0.83915,0.81211,0.87598,0.55607,0.93639,1.10429,0.64672,0.00178,0,0.0008416,0.0008416,0.0008416
18,4215.48,1.16855,1.27236,0.82901,0.00266,0.58415,0.83449,0.83458,0.89356,0.691,0.82355,0.82092,0.87083,0.55173,0.91927,1.06879,0.6142,0.00175,0,0.0008317,0.0008317,0.0008317
19,4447.28,1.15699,1.27223,0.81471,0.00265,0.57985,0.85503,0.84854,0.91298,0.69909,0.85723,0.83008,0.89795,0.56863,0.93681,1.07392,0.56177,0.00178,0,0.0008218,0.0008218,0.0008218
20,4678.86,1.15007,1.26388,0.78838,0.00264,0.5458,0.86373,0.86903,0.92086,0.7143,0.86564,0.85359,0.90598,0.5607,0.92155,1.05652,0.57995,0.00175,0,0.0008119,0.0008119,0.0008119
21,4910.11,1.14166,1.24997,0.78184,0.00262,0.55418,0.86613,0.85403,0.91299,0.70808,0.8561,0.8443,0.89511,0.55127,0.91284,1.04794,0.55008,0.00173,0,0.000802,0.000802,0.000802
22,5140.7,1.13278,1.24077,0.75002,0.0026,0.53001,0.8759,0.85299,0.92324,0.72088,0.8676,0.84205,0.90461,0.56413,0.91579,1.06009,0.5287,0.00174,0,0.0007921,0.0007921,0.0007921
23,5372.08,1.13191,1.23072,0.74782,0.00257,0.52672,0.8831,0.86675,0.92656,0.73011,0.87451,0.86003,0.91452,0.57914,0.88115,1.03588,0.50556,0.00166,0,0.0007822,0.0007822,0.0007822
24,5603.67,1.12535,1.21899,0.73827,0.00259,0.51449,0.86844,0.87317,0.92456,0.73002,0.86545,0.86028,0.91151,0.58021,0.88188,1.01162,0.5246,0.00167,0,0.0007723,0.0007723,0.0007723
25,5835.19,1.12971,1.20883,0.722,0.00262,0.50029,0.87716,0.85915,0.91957,0.72046,0.86462,0.84663,0.90005,0.55525,0.89776,1.05456,0.54451,0.00169,0,0.0007624,0.0007624,0.0007624
26,6066.17,1.1035,1.20536,0.70965,0.0025,0.49451,0.88225,0.88707,0.93258,0.74119,0.87601,0.88032,0.92118,0.59158,0.87241,1.01725,0.46709,0.00166,0,0.0007525,0.0007525,0.0007525
27,6297.78,1.10821,1.19559,0.72586,0.00252,0.4904,0.86876,0.85923,0.91833,0.72181,0.86046,0.85574,0.90465,0.57559,0.87837,1.01811,0.54423,0.00168,0,0.0007426,0.0007426,0.0007426
28,6529.1,1.109,1.20017,0.70833,0.00249,0.47626,0.88073,0.86702,0.92339,0.72407,0.86448,0.85603,0.90292,0.56756,0.89557,1.0252,0.51559,0.00172,0,0.0007327,0.0007327,0.0007327
29,6759.69,1.09703,1.18026,0.68877,0.00255,0.47027,0.88545,0.88596,0.93407,0.74154,0.87675,0.8764,0.91911,0.58751,0.87511,1.01894,0.48102,0.00165,0,0.0007228,0.0007228,0.0007228
30,6990.7,1.1028,1.19253,0.68282,0.00248,0.45588,0.89588,0.8931,0.94009,0.75046,0.88413,0.88548,0.92431,0.59169,0.85742,1.01217,0.4524,0.00162,0,0.0007129,0.0007129,0.0007129
31,7221.34,1.09343,1.18002,0.67313,0.00248,0.44978,0.88638,0.89353,0.93619,0.74214,0.88132,0.88013,0.92071,0.5867,0.86515,1.02274,0.47984,0.00163,0,0.000703,0.000703,0.000703
32,7452.03,1.0865,1.17771,0.66931,0.00244,0.45206,0.89067,0.89543,0.94087,0.75469,0.8831,0.88516,0.92623,0.58751,0.84753,0.99486,0.45294,0.00159,0,0.0006931,0.0006931,0.0006931
33,7682.87,1.08137,1.17024,0.67173,0.00245,0.44828,0.90652,0.88756,0.9446,0.75535,0.89635,0.87551,0.92826,0.59072,0.83291,0.99223,0.44465,0.00156,0,0.0006832,0.0006832,0.0006832
34,7914.46,1.07547,1.1637,0.66337,0.00241,0.44664,0.88788,0.90142,0.94046,0.75267,0.87588,0.88961,0.92351,0.5839,0.84676,0.99527,0.44896,0.00159,0,0.0006733,0.0006733,0.0006733
35,8145.73,1.06815,1.15731,0.64457,0.00243,0.42647,0.90256,0.89954,0.94219,0.7543,0.89436,0.8912,0.92888,0.5967,0.83853,0.99178,0.43303,0.00157,0,0.0006634,0.0006634,0.0006634
36,8376.91,1.06771,1.15382,0.63775,0.00237,0.42409,0.90265,0.9063,0.944,0.75661,0.89167,0.89588,0.92722,0.59809,0.83998,0.98969,0.42429,0.00157,0,0.0006535,0.0006535,0.0006535
37,8607.79,1.05989,1.13657,0.61819,0.00238,0.41131,0.89877,0.90335,0.94485,0.75857,0.89928,0.88789,0.93283,0.60642,0.84615,0.97773,0.42582,0.00159,0,0.0006436,0.0006436,0.0006436
38,8839.02,1.07513,1.15284,0.61818,0.00233,0.39801,0.90274,0.90372,0.94745,0.76591,0.89614,0.89441,0.93598,0.60171,0.8241,0.98742,0.42515,0.00155,0,0.0006337,0.0006337,0.0006337
39,9070.6,1.05531,1.13868,0.60602,0.00233,0.38698,0.91182,0.90905,0.94672,0.76281,0.90604,0.89886,0.93417,0.59859,0.8352,0.97103,0.41695,0.00157,0,0.0006238,0.0006238,0.0006238
40,9301.89,1.06008,1.14075,0.6147,0.00232,0.40275,0.90334,0.92225,0.95461,0.77481,0.90894,0.89829,0.9403,0.60807,0.81804,0.966,0.40492,0.00153,0,0.0006139,0.0006139,0.0006139
