epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,253.354,1.49126,1.90325,2.7258,0.00266,5.68988,0.70218,0.69128,0.726,0.52713,0.69761,0.68538,0.71586,0.44567,1.12137,1.41422,1.02628,0.00225,0,0.000332636,0.000332636,0.000332636
2,461.508,1.33531,1.57043,1.32547,0.00233,1.39043,0.71398,0.744,0.76322,0.5548,0.71274,0.7369,0.75784,0.46788,1.06711,1.29446,0.94282,0.00212,0,0.000659376,0.000659376,0.000659376
3,661.989,1.32809,1.52963,1.22885,0.00234,0.97062,0.68136,0.75971,0.7798,0.58189,0.6776,0.75108,0.76556,0.47823,1.04491,1.24219,0.91382,0.00204,0,0.000979516,0.000979516,0.000979516
4,862.116,1.33558,1.51671,1.17524,0.0023,0.91698,0.78051,0.7488,0.82578,0.60883,0.7714,0.74321,0.8114,0.50186,1.05259,1.24432,0.81953,0.00209,0,0.0009703,0.0009703,0.0009703
5,1062.57,1.31565,1.48617,1.12459,0.00228,0.86033,0.78845,0.76508,0.83982,0.6314,0.79006,0.75498,0.83064,0.50371,1.00826,1.20353,0.81062,0.00196,0,0.0009604,0.0009604,0.0009604
6,1262.25,1.2913,1.44435,1.07627,0.00225,0.82213,0.79777,0.79439,0.8504,0.63939,0.7952,0.789,0.84179,0.52371,1.00184,1.16455,0.73988,0.00196,0,0.0009505,0.0009505,0.0009505
7,1462.43,1.28012,1.41067,1.04887,0.00222,0.80963,0.77065,0.79016,0.83589,0.62354,0.75847,0.78843,0.823,0.50997,1.01341,1.19762,0.8849,0.00195,0,0.0009406,0.0009406,0.0009406
8,1662.35,1.26788,1.39843,1.00433,0.00218,0.75916,0.82245,0.80439,0.87195,0.65486,0.81567,0.79642,0.8594,0.54497,1.01199,1.16196,0.71232,0.00196,0,0.0009307,0.0009307,0.0009307
9,1862.25,1.2471,1.38056,0.9953,0.00216,0.7462,0.78898,0.7921,0.85498,0.64951,0.78506,0.78525,0.84463,0.52078,0.9874,1.15607,0.7731,0.00194,0,0.0009208,0.0009208,0.0009208
10,2062.37,1.25181,1.3942,0.96335,0.00212,0.71834,0.806,0.82516,0.87088,0.65662,0.80715,0.82025,0.86258,0.53584,0.99955,1.12985,0.70714,0.00195,0,0.0009109,0.0009109,0.0009109
11,2261.63,1.2363,1.36769,0.92266,0.0021,0.66693,0.81551,0.7958,0.86968,0.66429,0.80823,0.79238,0.85829,0.54459,0.97309,1.14364,0.68154,0.00188,0,0.000901,0.000901,0.000901
12,2461.31,1.23801,1.346,0.92215,0.00211,0.67276,0.82018,0.83888,0.89163,0.68339,0.81289,0.83087,0.87437,0.52885,0.9554,1.12277,0.7677,0.00184,0,0.0008911,0.0008911,0.0008911
13,2660.74,1.23414,1.33663,0.9006,0.0021,0.6323,0.8584,0.83608,0.90073,0.69275,0.85665,0.8288,0.88945,0.55813,0.95009,1.09666,0.59337,0.00183,0,0.0008812,0.0008812,0.0008812
14,2860.14,1.21254,1.32683,0.86654,0.00206,0.6154,0.84368,0.84856,0.90656,0.70067,0.83503,0.83605,0.88907,0.54278,0.94879,1.11695,0.60524,0.00182,0,0.0008713,0.0008713,0.0008713
15,3059.69,1.19749,1.30245,0.83138,0.00202,0.59743,0.86555,0.84513,0.90797,0.70162,0.85496,0.83112,0.888,0.56005,0.93804,1.09896,0.57478,0.0018,0,0.0008614,0.0008614,0.0008614
16,3259.3,1.18941,1.29191,0.84657,0.002,0.59391,0.84208,0.8633,0.90724,0.69597,0.83103,0.85766,0.89272,0.55465,0.95819,1.05801,0.61265,0.00186,0,0.0008515,0.0008515,0.0008515
17,3458.47,1.18794,1.2889,0.81181,0.00199,0.56584,0.86644,0.85044,0.9101,0.70292,0.85584,0.83946,0.89062,0.5639,0.93317,1.07287,0.56269,0.00177,0,0.0008416,0.0008416,0.0008416
