epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,278.866,0.91987,1.80082,3.71621,0.00583,2.81151,0.00973,0.82026,0.407,0.30032,0.01008,0.84967,0.40837,0.32343,0.82564,1.89859,4.50904,0.0069,0,0.0006,0.0006,0.0006
2,537.49,0.98786,1.41601,2.47246,0.00658,0.69456,0.66987,0.42439,0.55711,0.43269,0.66987,0.42439,0.56152,0.44775,0.82441,1.70462,4.03205,0.00742,0,0.00119584,0.00119584,0.00119584
3,789.57,1.03039,1.43412,1.97356,0.00691,0.58819,0.79519,0.54248,0.72797,0.53408,0.79519,0.54248,0.72602,0.51866,0.99952,2.66771,3.05742,0.0094,0,0.00176714,0.00176714,0.00176714
4,1028.45,1.03751,1.41677,1.70067,0.00711,0.5732,0.67996,0.63183,0.7072,0.5191,0.68348,0.6351,0.71181,0.51978,1.0486,2.09803,2.43204,0.00926,0,0.0018812,0.0018812,0.0018812
5,1271.58,1.05273,1.35871,1.47926,0.0067,0.49363,0.78933,0.74837,0.82614,0.60849,0.77586,0.75163,0.82254,0.62329,0.98621,1.5272,1.68285,0.00864,0,0.0018416,0.0018416,0.0018416
6,1510.14,1.05754,1.30356,1.32473,0.00702,0.51259,0.82886,0.71223,0.82605,0.59542,0.82506,0.70896,0.81977,0.64178,1.07163,1.33958,1.44815,0.00992,0,0.001802,0.001802,0.001802
7,1747.96,1.05355,1.26448,1.20705,0.00701,0.50547,0.77986,0.7451,0.82592,0.63585,0.77986,0.7451,0.82433,0.64714,0.87578,1.31726,1.27521,0.00795,0,0.0017624,0.0017624,0.0017624
8,1986.08,0.95165,1.2097,1.06339,0.00653,0.48878,0.83078,0.71569,0.83895,0.64106,0.8356,0.71895,0.84106,0.64956,0.87326,1.19928,1.11974,0.00757,0,0.0017228,0.0017228,0.0017228
9,2223.12,0.92939,1.23335,0.95211,0.00645,0.44743,0.74588,0.80574,0.84192,0.61945,0.74286,0.80247,0.83431,0.65344,0.98329,1.23531,1.11525,0.0091,0,0.0016832,0.0016832,0.0016832
10,2458.67,0.92426,1.16222,0.90773,0.00616,0.46677,0.83831,0.77778,0.86798,0.68227,0.83318,0.77451,0.86566,0.69509,0.839,1.14247,0.95791,0.00741,0,0.0016436,0.0016436,0.0016436
11,2696.85,0.92634,1.18753,0.89199,0.00585,0.44707,0.84526,0.82353,0.8766,0.68938,0.84526,0.82353,0.87664,0.70233,0.8371,1.11411,0.81643,0.00748,0,0.001604,0.001604,0.001604
12,2933.1,0.91619,1.1595,0.80946,0.00608,0.40749,0.83919,0.82026,0.8804,0.69711,0.84991,0.81373,0.87687,0.70999,0.83097,1.07283,0.80595,0.00726,0,0.0015644,0.0015644,0.0015644
13,3169.71,0.92372,1.17668,0.74214,0.00631,0.41339,0.88573,0.79739,0.90226,0.71863,0.88573,0.79739,0.90252,0.7402,0.83414,1.10041,0.75561,0.00738,0,0.0015248,0.0015248,0.0015248
14,3407.5,0.93089,1.16909,0.72961,0.00612,0.41076,0.87616,0.8092,0.90251,0.72126,0.87616,0.8092,0.90334,0.73299,0.84744,1.02107,0.70439,0.00754,0,0.0014852,0.0014852,0.0014852
